,fga,fg3a,fta,per,ts_pct,usg_pct,bpm,season,player,win_pct,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48
237,14.6,0.1,4.7,19.7,0.577,23.1,5.5,1991-92,Danny Manning,0.5487804878048781,0.0,1.0,960.0,0.001,82.0,35.4,19.3,6.9,3.5,1.6,1.5,0.542,0.0,0.725,9.8,0.162
238,11.6,0.9,5.5,19.5,0.617,21.1,3.7,1991-92,Detlef Schrempf,0.4878048780487805,0.0,1.0,960.0,0.001,80.0,32.6,17.3,9.6,3.9,0.8,0.5,0.536,0.324,0.828,9.8,0.181
239,18.1,2.9,7.7,25.9,0.596,26.9,8.3,1992-93,Charles Barkley,0.7560975609756098,59.0,835.0,980.0,0.852,76.0,37.6,25.6,12.2,5.1,1.6,1.0,0.52,0.305,0.765,14.4,0.242
240,19.5,0.1,7.0,27.3,0.577,28.8,8.4,1992-93,Hakeem Olajuwon,0.6707317073170732,22.0,647.0,980.0,0.66,82.0,39.5,26.1,13.0,3.5,1.8,4.2,0.529,0.0,0.779,15.8,0.234
241,25.7,2.9,7.3,29.7,0.564,34.7,9.5,1992-93,Michael Jordan,0.6951219512195121,13.0,565.0,980.0,0.577,78.0,39.3,32.6,6.7,5.5,2.8,0.8,0.495,0.352,0.837,17.2,0.27
242,19.1,0.1,6.9,20.8,0.546,29.7,2.2,1992-93,Patrick Ewing,0.7317073170731707,4.0,359.0,980.0,0.366,81.0,37.1,24.2,12.1,1.9,0.9,2.0,0.503,0.143,0.719,10.6,0.17
243,22.3,4.5,8.8,24.3,0.57,31.9,3.6,1992-93,Dominique Wilkins,0.524390243902439,0.0,54.0,980.0,0.055,71.0,37.3,29.9,6.8,3.2,1.0,0.4,0.468,0.38,0.828,10.5,0.191
244,16.4,0.2,9.3,24.2,0.569,26.4,6.7,1992-93,David Robinson,0.5975609756097561,0.0,33.0,980.0,0.034,82.0,39.2,23.4,11.7,3.7,1.5,3.2,0.501,0.176,0.732,13.2,0.197
245,16.1,0.0,8.9,22.9,0.584,27.0,3.7,1992-93,Shaquille O'Neal,0.5,0.0,30.0,980.0,0.031,81.0,37.9,23.4,13.9,1.9,0.7,3.5,0.562,0.0,0.592,10.4,0.163
246,17.6,0.2,10.2,26.2,0.612,28.4,7.6,1992-93,Karl Malone,0.573170731707317,0.0,10.0,980.0,0.01,82.0,37.8,27.0,11.2,3.8,1.5,1.0,0.552,0.2,0.74,15.4,0.238
247,13.1,3.9,4.1,22.1,0.609,24.5,3.2,1992-93,Mark Price,0.6585365853658537,0.0,10.0,980.0,0.01,75.0,31.7,18.2,2.7,8.0,1.2,0.1,0.484,0.416,0.948,9.8,0.197
248,12.8,0.0,6.9,22.0,0.635,21.1,5.2,1992-93,Brad Daugherty,0.6585365853658537,0.0,1.0,980.0,0.001,71.0,37.9,20.2,10.2,4.4,0.7,0.8,0.571,0.5,0.795,12.7,0.226
249,16.7,2.7,6.0,20.7,0.517,26.1,6.1,1992-93,Clyde Drexler,0.6219512195121951,0.0,1.0,980.0,0.001,49.0,34.1,19.9,6.3,5.7,1.9,0.8,0.429,0.233,0.839,6.0,0.171
250,18.9,3.9,5.2,17.6,0.555,24.5,1.4,1992-93,Joe Dumars,0.4878048780487805,0.0,1.0,980.0,0.001,77.0,40.2,23.5,1.9,4.0,1.0,0.1,0.466,0.375,0.864,9.1,0.141
251,13.4,0.1,6.4,20.4,0.547,24.2,3.2,1992-93,Shawn Kemp,0.6707317073170732,0.0,1.0,980.0,0.001,78.0,33.1,17.8,10.7,2.0,1.5,1.9,0.492,0.0,0.712,9.1,0.169
252,11.0,2.3,4.5,21.3,0.584,19.9,3.3,1992-93,John Stockton,0.573170731707317,0.0,1.0,980.0,0.001,82.0,34.9,15.1,2.9,12.0,2.4,0.3,0.486,0.385,0.798,10.6,0.177
253,21.2,0.2,6.8,25.3,0.565,29.8,7.0,1993-94,Hakeem Olajuwon,0.7073170731707317,66.0,889.0,1010.0,0.88,80.0,41.0,27.3,11.9,3.6,1.6,3.7,0.528,0.421,0.716,14.3,0.21
254,20.7,0.4,11.6,30.7,0.577,32.0,10.9,1993-94,David Robinson,0.6707317073170732,24.0,730.0,1010.0,0.723,80.0,40.5,29.8,10.7,4.8,1.7,3.3,0.507,0.345,0.749,20.0,0.296
255,17.8,2.7,5.7,23.2,0.544,27.1,8.3,1993-94,Scottie Pippen,0.6707317073170732,7.0,390.0,1010.0,0.386,72.0,38.3,22.0,8.7,5.6,2.9,0.8,0.491,0.32,0.66,11.2,0.194
256,19.6,0.0,10.5,28.5,0.605,29.0,6.6,1993-94,Shaquille O'Neal,0.6097560975609756,3.0,289.0,1010.0,0.286,81.0,39.8,29.3,13.2,2.4,0.9,2.9,0.599,0.0,0.554,16.9,0.252
257,19.0,0.2,7.4,22.9,0.551,29.8,4.5,1993-94,Patrick Ewing,0.6951219512195121,1.0,255.0,1010.0,0.252,79.0,37.6,24.5,11.2,2.3,1.1,2.7,0.496,0.286,0.765,13.1,0.211
258,14.1,0.7,3.4,17.8,0.526,21.6,2.8,1993-94,Gary Payton,0.7682926829268293,0.0,20.0,1010.0,0.02,82.0,35.1,16.5,3.3,6.0,2.3,0.2,0.504,0.278,0.595,9.3,0.155
259,12.5,0.1,6.2,22.9,0.593,24.2,6.5,1993-94,Shawn Kemp,0.7682926829268293,0.0,17.0,1010.0,0.017,79.0,32.9,18.1,10.8,2.6,1.8,2.1,0.538,0.25,0.741,11.7,0.216
260,18.9,0.4,9.0,22.9,0.55,28.0,6.3,1993-94,Karl Malone,0.6463414634146342,0.0,17.0,1010.0,0.017,82.0,40.6,25.2,11.5,4.0,1.5,1.5,0.497,0.25,0.694,13.4,0.193
261,13.2,3.9,3.5,22.7,0.586,24.6,4.6,1993-94,Mark Price,0.573170731707317,0.0,7.0,1010.0,0.007,76.0,31.4,17.3,3.0,7.8,1.4,0.1,0.478,0.397,0.888,10.0,0.201
262,16.1,2.7,7.0,22.8,0.563,26.5,5.7,1993-94,Charles Barkley,0.6829268292682927,0.0,5.0,1010.0,0.005,65.0,35.4,21.6,11.2,4.6,1.6,0.6,0.495,0.27,0.704,8.8,0.185
263,13.3,4.2,2.0,19.6,0.487,19.8,5.3,1993-94,Mookie Blaylock,0.6951219512195121,0.0,1.0,1010.0,0.001,81.0,36.0,13.8,5.2,9.7,2.6,0.5,0.411,0.334,0.73,10.2,0.168
264,14.6,0.4,6.9,20.6,0.566,24.3,0.9,1993-94,Kevin Johnson,0.6829268292682927,0.0,1.0,1010.0,0.001,67.0,36.6,20.0,2.5,9.5,1.9,0.1,0.487,0.222,0.819,8.7,0.17
265,3.7,0.3,1.3,13.4,0.549,7.1,3.5,1993-94,Dennis Rodman,0.6707317073170732,0.0,1.0,1010.0,0.001,79.0,37.8,4.7,17.3,2.3,0.7,0.4,0.534,0.208,0.52,8.7,0.14
266,17.3,4.8,5.6,15.9,0.532,21.5,2.0,1993-94,Latrell Sprewell,0.6097560975609756,0.0,1.0,1010.0,0.001,82.0,43.1,21.0,4.9,4.7,2.2,0.9,0.433,0.361,0.774,8.0,0.108
267,10.6,1.8,4.1,22.5,0.608,19.1,4.4,1993-94,John Stockton,0.6463414634146342,0.0,1.0,1010.0,0.001,82.0,36.2,15.1,3.1,12.6,2.4,0.3,0.528,0.322,0.805,13.2,0.214
268,21.5,4.0,7.1,21.4,0.529,32.0,0.9,1993-94,Dominique Wilkins,0.5,0.0,1.0,1010.0,0.001,74.0,35.6,26.0,6.5,2.3,1.2,0.4,0.44,0.288,0.847,8.4,0.153
269,15.7,0.3,4.7,19.4,0.538,24.1,1.1,1993-94,Kevin Willis,0.6951219512195121,0.0,1.0,1010.0,0.001,80.0,35.8,19.1,12.0,1.9,1.0,0.5,0.499,0.375,0.713,10.2,0.17
270,18.4,0.2,10.5,29.1,0.602,29.9,8.4,1994-95,David Robinson,0.7560975609756098,73.0,901.0,1050.0,0.858,81.0,38.0,27.6,10.8,2.9,1.7,3.2,0.53,0.3,0.774,17.5,0.273
271,20.2,0.1,10.8,28.6,0.588,31.9,5.4,1994-95,Shaquille O'Neal,0.6951219512195121,12.0,605.0,1050.0,0.576,79.0,37.0,29.3,11.4,2.7,0.9,2.4,0.583,0.0,0.533,14.0,0.23
272,18.9,0.5,8.5,25.1,0.59,30.3,5.8,1994-95,Karl Malone,0.7317073170731707,14.0,532.0,1050.0,0.507,82.0,38.1,26.7,10.6,3.5,1.6,1.0,0.536,0.268,0.742,13.8,0.212
273,18.4,0.3,7.1,21.9,0.555,30.7,2.2,1994-95,Patrick Ewing,0.6707317073170732,2.0,230.0,1050.0,0.219,79.0,37.0,23.9,11.0,2.7,0.9,2.0,0.503,0.286,0.75,9.6,0.157
274,21.5,0.2,7.5,26.0,0.563,31.7,5.3,1994-95,Hakeem Olajuwon,0.573170731707317,1.0,147.0,1050.0,0.14,72.0,39.6,27.8,10.8,3.5,1.8,3.4,0.517,0.188,0.756,10.7,0.181
275,16.8,3.2,7.5,25.2,0.572,27.5,6.4,1994-95,Charles Barkley,0.7195121951219512,1.0,96.0,1050.0,0.091,68.0,35.0,23.0,11.1,4.1,1.6,0.7,0.486,0.338,0.748,10.6,0.214
276,16.7,4.0,5.6,22.6,0.559,26.3,7.8,1994-95,Scottie Pippen,0.573170731707317,1.0,83.0,1050.0,0.079,79.0,38.2,21.4,8.1,5.2,2.9,1.1,0.48,0.345,0.716,11.8,0.188
277,9.6,2.8,3.7,23.3,0.651,18.9,5.5,1994-95,John Stockton,0.7317073170731707,1.0,47.0,1050.0,0.045,82.0,35.0,14.7,3.1,12.3,2.4,0.3,0.542,0.449,0.804,13.9,0.233
278,16.4,2.8,4.2,21.3,0.564,24.4,4.5,1994-95,Gary Payton,0.6951219512195121,0.0,34.0,1050.0,0.032,82.0,36.8,20.6,3.4,7.1,2.5,0.2,0.509,0.302,0.716,11.7,0.187
279,14.8,3.2,6.0,20.8,0.599,23.7,4.2,1994-95,Anfernee Hardaway,0.6951219512195121,0.0,23.0,1050.0,0.022,77.0,37.7,20.9,4.4,7.2,1.7,0.3,0.512,0.349,0.769,10.7,0.177
280,23.8,1.9,8.0,22.1,0.493,33.2,2.7,1994-95,Michael Jordan,0.573170731707317,0.0,12.0,1050.0,0.011,17.0,39.3,26.9,6.9,5.3,1.8,0.8,0.411,0.5,0.801,2.3,0.167
281,4.9,0.0,2.3,16.6,0.604,10.9,3.8,1994-95,Dennis Rodman,0.7560975609756098,0.0,9.0,1050.0,0.009,49.0,32.0,7.1,16.8,2.0,0.6,0.5,0.571,0.0,0.676,5.8,0.178
282,10.8,3.3,3.5,15.1,0.471,19.0,1.7,1994-95,Jason Kidd,0.43902439024390244,0.0,7.0,1050.0,0.007,79.0,33.8,11.7,5.4,7.7,1.9,0.3,0.385,0.272,0.698,3.7,0.066
283,16.3,5.4,5.8,22.4,0.577,25.7,6.5,1994-95,Clyde Drexler,0.5,0.0,3.0,1050.0,0.003,76.0,35.9,21.8,6.3,4.8,1.8,0.6,0.461,0.36,0.824,11.7,0.206
284,16.8,2.5,5.0,19.9,0.57,26.5,0.0,1994-95,Cedric Ceballos,0.5853658536585366,0.0,1.0,1050.0,0.001,58.0,35.0,21.7,8.0,1.8,1.0,0.3,0.509,0.397,0.716,5.2,0.123
285,22.6,3.2,8.0,29.4,0.582,33.3,8.6,1995-96,Michael Jordan,0.8780487804878049,109.0,1114.0,1130.0,0.986,82.0,37.7,30.4,6.6,4.3,2.2,0.5,0.495,0.427,0.834,20.4,0.317
286,16.8,0.1,10.0,29.4,0.589,28.8,9.2,1995-96,David Robinson,0.7195121951219512,0.0,574.0,1130.0,0.508,82.0,36.8,25.0,12.2,3.0,1.4,3.3,0.516,0.333,0.761,18.3,0.29
287,14.8,3.5,7.1,24.6,0.605,25.5,6.4,1995-96,Anfernee Hardaway,0.7317073170731707,2.0,360.0,1130.0,0.319,82.0,36.8,21.7,4.3,7.1,2.0,0.5,0.513,0.314,0.767,14.4,0.229
288,20.8,0.2,7.6,25.5,0.558,31.9,4.6,1995-96,Hakeem Olajuwon,0.5853658536585366,1.0,238.0,1130.0,0.211,72.0,38.8,26.9,10.9,3.6,1.6,2.9,0.514,0.214,0.724,9.7,0.166
289,15.8,5.2,4.2,21.0,0.551,24.4,6.8,1995-96,Scottie Pippen,0.8780487804878049,0.0,226.0,1130.0,0.2,77.0,36.7,19.4,6.4,5.9,1.7,0.7,0.463,0.374,0.679,12.3,0.209
290,15.8,3.7,3.8,19.6,0.554,23.6,4.7,1995-96,Gary Payton,0.7804878048780488,0.0,98.0,1130.0,0.087,81.0,39.0,19.3,4.2,7.5,2.9,0.2,0.484,0.328,0.748,11.5,0.174
291,18.5,0.5,8.6,26.0,0.575,29.8,7.3,1995-96,Karl Malone,0.6707317073170732,1.0,85.0,1130.0,0.075,82.0,38.0,25.7,9.8,4.2,1.7,0.7,0.519,0.4,0.723,15.1,0.233
292,11.9,0.2,8.4,22.6,0.631,26.2,3.8,1995-96,Shawn Kemp,0.7804878048780488,0.0,73.0,1130.0,0.065,79.0,33.3,19.6,11.4,2.2,1.2,1.6,0.561,0.417,0.742,11.2,0.205
293,15.3,0.3,8.1,20.9,0.537,25.9,5.1,1995-96,Grant Hill,0.5609756097560976,0.0,63.0,1130.0,0.056,80.0,40.8,20.2,9.8,6.9,1.3,0.6,0.462,0.192,0.751,11.7,0.172
294,19.1,0.0,9.5,26.4,0.57,32.8,3.5,1995-96,Shaquille O'Neal,0.7317073170731707,0.0,63.0,1130.0,0.056,54.0,36.0,26.6,11.0,2.9,0.6,2.1,0.573,0.5,0.487,6.9,0.171
295,10.0,2.7,3.4,21.9,0.642,18.7,3.7,1995-96,John Stockton,0.6707317073170732,0.0,12.0,1130.0,0.011,82.0,35.5,14.7,2.8,11.2,1.7,0.2,0.538,0.422,0.83,13.0,0.214
296,16.3,2.5,8.0,24.8,0.585,27.5,5.9,1995-96,Charles Barkley,0.5,0.0,8.0,1130.0,0.007,71.0,37.1,23.2,11.6,3.7,1.6,0.8,0.5,0.28,0.777,10.5,0.191
297,9.2,1.8,6.3,21.1,0.612,22.7,3.2,1995-96,Magic Johnson,0.6463414634146342,0.0,8.0,1130.0,0.007,32.0,29.9,14.6,5.7,6.9,0.8,0.4,0.466,0.379,0.856,3.6,0.181
298,15.4,0.4,10.2,22.7,0.584,28.1,4.4,1995-96,Alonzo Mourning,0.5121951219512195,0.0,6.0,1130.0,0.005,70.0,38.2,23.2,10.4,2.3,1.0,2.7,0.523,0.3,0.685,9.9,0.178
299,4.8,0.4,1.7,13.6,0.501,10.3,3.2,1995-96,Dennis Rodman,0.8780487804878049,0.0,4.0,1130.0,0.004,64.0,32.6,5.5,14.9,2.5,0.6,0.4,0.48,0.111,0.528,6.2,0.143
300,14.6,3.1,5.1,25.2,0.573,27.6,6.0,1995-96,Terrell Brandon,0.573170731707317,0.0,3.0,1130.0,0.003,75.0,34.3,19.3,3.3,6.5,1.8,0.4,0.465,0.387,0.887,12.7,0.237
301,16.9,6.4,6.1,19.2,0.591,26.9,2.9,1995-96,Mitch Richmond,0.47560975609756095,0.0,3.0,1130.0,0.003,81.0,36.4,23.1,3.3,3.1,1.5,0.2,0.447,0.437,0.866,9.3,0.151
302,19.2,0.2,8.4,28.9,0.6,32.7,8.5,1996-97,Karl Malone,0.7804878048780488,63.0,986.0,1150.0,0.857,82.0,36.6,27.4,9.9,4.5,1.4,0.6,0.55,0.0,0.755,16.7,0.268
303,23.1,3.6,7.0,27.8,0.567,33.2,6.7,1996-97,Michael Jordan,0.8414634146341463,52.0,957.0,1150.0,0.832,82.0,37.9,29.6,5.9,4.3,1.7,0.5,0.486,0.374,0.833,18.3,0.283
304,15.7,0.4,7.9,25.5,0.556,28.3,8.0,1996-97,Grant Hill,0.6585365853658537,0.0,376.0,1150.0,0.327,80.0,39.3,21.4,9.0,7.3,1.8,0.6,0.496,0.303,0.711,14.6,0.223
305,17.1,7.3,4.5,20.8,0.532,26.6,5.1,1996-97,Tim Hardaway,0.7439024390243902,0.0,238.0,1150.0,0.207,81.0,38.7,20.3,3.4,8.6,1.9,0.1,0.415,0.344,0.799,12.9,0.198
306,19.2,5.6,6.8,19.7,0.605,26.9,1.2,1996-97,Glen Rice,0.6585365853658537,0.0,134.0,1150.0,0.117,79.0,42.6,26.8,4.0,2.0,0.9,0.3,0.477,0.47,0.867,10.8,0.154
307,18.1,4.6,4.3,21.8,0.545,26.4,5.6,1996-97,Gary Payton,0.6951219512195121,0.0,105.0,1150.0,0.091,82.0,39.2,21.8,4.6,7.1,2.4,0.2,0.476,0.313,0.715,12.9,0.193
308,18.3,0.2,5.7,22.7,0.558,30.4,3.2,1996-97,Hakeem Olajuwon,0.6951219512195121,0.0,95.0,1150.0,0.083,78.0,36.6,23.2,9.2,3.0,1.5,2.2,0.51,0.313,0.787,9.1,0.154
309,17.2,0.1,7.5,21.3,0.548,29.8,1.7,1996-97,Patrick Ewing,0.6951219512195121,0.0,57.0,1150.0,0.05,78.0,37.0,22.4,10.7,2.0,0.9,2.4,0.488,0.222,0.754,9.8,0.163
310,11.3,0.0,5.9,18.9,0.585,17.6,4.5,1996-97,Anthony Mason,0.6585365853658537,0.0,7.0,1150.0,0.006,73.0,43.1,16.2,11.4,5.7,1.0,0.5,0.525,0.333,0.745,11.4,0.173
311,19.4,0.1,9.4,27.1,0.556,31.1,6.3,1996-97,Shaquille O'Neal,0.6829268292682927,0.0,7.0,1150.0,0.006,51.0,38.1,26.2,12.5,3.1,0.9,2.9,0.557,0.0,0.484,8.0,0.197
312,16.7,5.2,3.5,21.3,0.554,24.6,6.6,1996-97,Scottie Pippen,0.8414634146341463,0.0,6.0,1150.0,0.005,82.0,37.7,20.2,6.5,5.7,1.9,0.5,0.474,0.368,0.701,13.1,0.203
313,13.4,0.1,8.6,21.6,0.578,27.5,2.7,1996-97,Alonzo Mourning,0.7439024390243902,0.0,5.0,1150.0,0.004,66.0,35.2,19.8,9.9,1.6,0.8,2.9,0.534,0.111,0.642,8.4,0.174
314,9.0,0.0,5.4,19.0,0.584,17.4,3.2,1996-97,Dikembe Mutombo,0.6829268292682927,0.0,4.0,1150.0,0.003,80.0,37.2,13.3,11.6,1.4,0.6,3.3,0.527,0.0,0.705,11.3,0.183
315,19.5,5.9,6.6,21.6,0.578,29.4,3.3,1996-97,Mitch Richmond,0.4146341463414634,0.0,4.0,1150.0,0.003,81.0,38.6,25.9,3.9,4.2,1.5,0.3,0.454,0.428,0.861,10.8,0.166
316,9.3,2.2,4.0,22.1,0.656,18.4,3.9,1996-97,John Stockton,0.7804878048780488,0.0,3.0,1150.0,0.003,82.0,35.3,14.4,2.8,10.5,2.0,0.2,0.548,0.422,0.846,13.6,0.226
317,13.1,3.9,7.8,23.0,0.581,23.2,7.1,1996-97,Charles Barkley,0.6951219512195121,0.0,2.0,1150.0,0.002,53.0,37.9,19.2,13.5,4.7,1.3,0.5,0.484,0.283,0.694,9.4,0.224
318,16.5,1.1,7.0,19.0,0.526,27.5,2.0,1996-97,Tom Gugliotta,0.4878048780487805,0.0,1.0,1150.0,0.001,81.0,38.7,20.6,8.7,4.1,1.6,1.1,0.442,0.258,0.82,6.7,0.103
319,19.8,6.0,7.2,18.0,0.513,28.9,1.5,1996-97,Allen Iverson,0.2682926829268293,0.0,1.0,1150.0,0.001,76.0,40.1,23.5,4.1,7.5,2.1,0.3,0.416,0.341,0.702,4.1,0.065
320,12.7,2.9,7.4,22.9,0.631,22.6,4.2,1996-97,Kevin Johnson,0.4878048780487805,0.0,1.0,1150.0,0.001,70.0,38.0,20.1,3.6,9.3,1.5,0.2,0.496,0.441,0.852,11.7,0.211
321,15.9,5.4,5.5,17.4,0.548,25.0,1.3,1996-97,Steve Smith,0.6829268292682927,0.0,1.0,1150.0,0.001,72.0,39.1,20.1,3.3,4.2,0.9,0.3,0.429,0.335,0.847,9.1,0.154
322,23.1,1.5,8.8,25.2,0.533,33.7,4.6,1997-98,Michael Jordan,0.7560975609756098,92.0,1084.0,1160.0,0.934,82.0,38.8,28.7,5.8,3.5,1.7,0.5,0.465,0.238,0.784,15.8,0.238
323,18.2,0.1,10.2,27.9,0.597,31.8,7.0,1997-98,Karl Malone,0.7560975609756098,20.0,842.0,1160.0,0.726,81.0,37.4,27.0,10.3,3.9,1.2,0.9,0.53,0.333,0.761,16.4,0.259
324,15.6,4.8,4.6,21.6,0.544,24.6,5.0,1997-98,Gary Payton,0.7439024390243902,3.0,431.0,1160.0,0.372,82.0,38.4,19.2,4.6,8.3,2.3,0.2,0.453,0.338,0.744,12.5,0.19
325,19.1,0.0,11.4,28.8,0.587,32.9,4.6,1997-98,Shaquille O'Neal,0.7439024390243902,1.0,311.0,1160.0,0.268,60.0,36.3,28.3,11.4,2.4,0.7,2.4,0.584,0.0,0.527,10.2,0.224
326,15.7,0.1,5.9,22.6,0.577,26.0,5.5,1997-98,Tim Duncan,0.6829268292682927,0.0,148.0,1160.0,0.128,82.0,39.1,21.1,11.9,2.7,0.7,2.5,0.549,0.0,0.662,12.8,0.192
327,16.0,5.5,4.1,20.6,0.53,25.6,4.6,1997-98,Tim Hardaway,0.6707317073170732,0.0,71.0,1160.0,0.061,81.0,37.4,18.9,3.7,8.3,1.7,0.2,0.431,0.351,0.781,11.7,0.185
328,14.6,0.1,9.0,27.8,0.581,29.7,7.8,1997-98,David Robinson,0.6829268292682927,0.0,36.0,1160.0,0.031,73.0,33.7,21.6,10.6,2.7,0.9,2.6,0.511,0.25,0.735,13.8,0.269
329,14.2,0.1,6.4,20.4,0.564,24.7,2.0,1997-98,Vin Baker,0.7439024390243902,0.0,24.0,1160.0,0.021,82.0,35.9,19.2,8.0,1.9,1.1,1.0,0.542,0.143,0.591,10.4,0.169
330,16.8,0.3,8.0,21.2,0.52,27.3,4.8,1997-98,Grant Hill,0.45121951219512196,0.0,23.0,1160.0,0.02,81.0,40.7,21.1,7.7,6.8,1.8,0.7,0.452,0.143,0.74,10.2,0.149
331,16.0,4.4,4.4,20.4,0.533,24.4,5.8,1997-98,Scottie Pippen,0.7560975609756098,0.0,14.0,1160.0,0.012,44.0,37.5,19.1,5.2,5.8,1.8,1.0,0.447,0.318,0.777,6.6,0.193
332,16.9,3.7,6.1,17.4,0.568,25.1,0.7,1997-98,Glen Rice,0.6219512195121951,0.0,7.0,1160.0,0.006,82.0,40.2,22.3,4.3,2.2,0.9,0.3,0.457,0.433,0.849,9.3,0.136
333,20.8,3.6,5.8,17.8,0.481,29.2,0.7,1997-98,Antoine Walker,0.43902439024390244,0.0,6.0,1160.0,0.005,82.0,39.9,22.4,10.2,3.3,1.7,0.7,0.423,0.312,0.645,4.7,0.07
334,10.5,2.8,2.5,16.4,0.502,17.6,3.1,1997-98,Jason Kidd,0.6829268292682927,0.0,5.0,1160.0,0.004,82.0,38.0,11.6,6.2,9.1,2.0,0.3,0.416,0.313,0.799,8.0,0.123
335,8.0,1.4,3.6,21.8,0.628,19.3,2.6,1997-98,John Stockton,0.7560975609756098,0.0,5.0,1160.0,0.004,64.0,29.0,12.0,2.6,8.5,1.4,0.2,0.528,0.429,0.827,8.0,0.206
336,17.4,4.8,6.7,20.4,0.569,27.8,2.3,1997-98,Mitch Richmond,0.32926829268292684,0.0,3.0,1160.0,0.003,70.0,36.7,23.2,3.3,4.0,1.3,0.2,0.445,0.389,0.864,7.9,0.148
337,13.3,4.7,5.4,19.8,0.619,23.9,4.3,1997-98,Reggie Miller,0.7073170731707317,0.0,2.0,1160.0,0.002,81.0,34.5,19.5,2.9,2.1,1.0,0.1,0.477,0.429,0.868,12.0,0.206
338,14.2,0.0,3.3,19.9,0.532,29.2,0.3,1997-98,Rik Smits,0.7073170731707317,0.0,2.0,1160.0,0.002,73.0,28.6,16.7,6.9,1.4,0.5,1.2,0.495,0.0,0.783,6.1,0.141
339,18.4,3.0,5.1,19.3,0.522,25.7,2.4,1997-98,Michael Finley,0.24390243902439024,0.0,1.0,1160.0,0.001,82.0,41.4,21.5,5.3,4.9,1.6,0.4,0.449,0.357,0.784,7.5,0.106
340,14.9,0.6,6.5,19.6,0.501,23.7,2.6,1997-98,Rod Strickland,0.5121951219512195,0.0,1.0,1160.0,0.001,76.0,39.7,17.8,5.3,10.5,1.7,0.3,0.434,0.25,0.726,8.1,0.129
341,16.3,0.0,9.8,25.6,0.577,30.5,6.8,1998-99,Karl Malone,0.74,44.0,827.0,1180.0,0.701,49.0,37.4,23.8,9.4,4.1,1.3,0.6,0.493,0.0,0.788,9.6,0.252
342,13.8,0.0,9.2,24.6,0.563,27.1,4.8,1998-99,Alonzo Mourning,0.66,36.0,773.0,1180.0,0.655,46.0,38.1,20.1,11.0,1.6,0.7,3.9,0.511,0.0,0.652,7.9,0.216
343,16.9,0.1,7.2,23.2,0.541,27.2,4.9,1998-99,Tim Duncan,0.74,30.0,740.0,1180.0,0.627,50.0,39.3,21.7,11.4,2.4,0.9,2.5,0.495,0.143,0.69,8.7,0.213
344,22.0,4.1,9.9,22.2,0.508,32.6,4.6,1998-99,Allen Iverson,0.56,5.0,319.0,1180.0,0.27,48.0,41.5,26.8,4.9,4.6,2.3,0.1,0.412,0.291,0.751,7.2,0.173
345,14.0,2.5,4.8,22.5,0.527,21.4,5.8,1998-99,Jason Kidd,0.54,2.0,159.0,1180.0,0.135,50.0,41.2,16.9,6.8,10.8,2.3,0.4,0.444,0.366,0.757,8.1,0.188
346,18.1,0.0,10.2,30.6,0.584,32.4,6.3,1998-99,Shaquille O'Neal,0.62,1.0,89.0,1180.0,0.075,49.0,34.8,26.3,10.7,2.3,0.7,1.7,0.576,0.0,0.54,9.0,0.255
347,18.5,0.8,4.1,19.5,0.491,24.9,3.0,1998-99,Chris Webber,0.54,0.0,51.0,1180.0,0.043,42.0,40.9,20.0,13.0,4.1,1.4,2.1,0.486,0.118,0.454,3.6,0.102
348,16.0,0.3,7.6,23.9,0.543,29.6,6.0,1998-99,Grant Hill,0.58,0.0,39.0,1180.0,0.033,50.0,37.0,21.1,7.1,6.0,1.6,0.5,0.479,0.0,0.752,7.3,0.189
349,18.5,5.6,5.5,23.1,0.519,27.1,5.4,1998-99,Gary Payton,0.5,0.0,35.0,1180.0,0.03,50.0,40.2,21.7,4.9,8.7,2.2,0.2,0.434,0.295,0.721,7.2,0.172
350,19.1,0.3,4.4,22.4,0.493,27.8,5.7,1998-99,Kevin Garnett,0.5,0.0,9.0,1180.0,0.008,47.0,37.9,20.8,10.4,4.3,1.7,1.8,0.46,0.286,0.704,5.4,0.146
351,13.7,0.0,9.3,23.6,0.578,28.9,4.7,1998-99,Shawn Kemp,0.44,0.0,7.0,1180.0,0.006,42.0,35.1,20.5,9.2,2.4,1.1,1.1,0.482,0.5,0.789,6.3,0.205
352,10.8,0.0,7.4,24.9,0.564,23.8,7.4,1998-99,David Robinson,0.74,0.0,6.0,1180.0,0.005,49.0,31.7,15.8,10.0,2.1,1.4,2.4,0.509,0.0,0.658,8.4,0.261
353,14.5,0.3,5.4,23.1,0.559,25.9,2.9,1998-99,Hakeem Olajuwon,0.62,0.0,3.0,1180.0,0.003,50.0,35.7,18.9,9.6,1.8,1.6,2.5,0.514,0.308,0.717,6.5,0.175
354,9.6,0.5,3.5,20.4,0.546,21.7,4.3,1998-99,Arvydas Sabonis,0.7,0.0,3.0,1180.0,0.003,50.0,27.0,12.1,7.9,2.4,0.7,1.3,0.485,0.292,0.771,5.8,0.207
355,10.4,3.8,3.6,22.2,0.575,22.9,5.9,1998-99,Darrell Armstrong,0.66,0.0,2.0,1180.0,0.002,50.0,30.0,13.8,3.6,6.7,2.2,0.1,0.441,0.365,0.904,6.4,0.205
